taxonID,description,type,language
alien-herpetofauna-belgium:taxon:c853660656a6faf1dbf25b120a37fb69,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:c853660656a6faf1dbf25b120a37fb69,Asia,native range,en
alien-herpetofauna-belgium:taxon:cd7d2bda9bf91acd10f9b2c958621558,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:cd7d2bda9bf91acd10f9b2c958621558,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:cd7d2bda9bf91acd10f9b2c958621558,Eastern Asia,native range,en
alien-herpetofauna-belgium:taxon:cec9b34e435dab7b703ae88b3c9c686b,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:cec9b34e435dab7b703ae88b3c9c686b,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:cec9b34e435dab7b703ae88b3c9c686b,North America,native range,en
alien-herpetofauna-belgium:taxon:d10a2f81ec69b7de222c600d82d85c65,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:d10a2f81ec69b7de222c600d82d85c65,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:d10a2f81ec69b7de222c600d82d85c65,North America | Central America| South America,native range,en
alien-herpetofauna-belgium:taxon:d4b7adfe4d5857a15e3a05b676398888,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:d4b7adfe4d5857a15e3a05b676398888,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:d4b7adfe4d5857a15e3a05b676398888,North America,native range,en
alien-herpetofauna-belgium:taxon:d4e4618bd9c2f81c096cb372dd78b33d,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:d4e4618bd9c2f81c096cb372dd78b33d,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:d4e4618bd9c2f81c096cb372dd78b33d,North America,native range,en
alien-herpetofauna-belgium:taxon:d72168ac44c60424d6781eb17fff357e,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:d72168ac44c60424d6781eb17fff357e,escape_pet | release_other,introduction pathway,en
